Entity,iso_code,date,containment_index
Afghanistan,AFG,2020/1/1,0
Afghanistan,AFG,2020/1/2,0
Afghanistan,AFG,2020/1/3,0
Afghanistan,AFG,2020/1/4,0
Afghanistan,AFG,2020/1/5,0
Afghanistan,AFG,2020/1/6,0
Afghanistan,AFG,2020/1/7,0
Afghanistan,AFG,2020/1/8,0
Afghanistan,AFG,2020/1/9,0
Afghanistan,AFG,2020/1/10,0
Afghanistan,AFG,2020/1/11,0
Afghanistan,AFG,2020/1/12,0
Afghanistan,AFG,2020/1/13,0
Afghanistan,AFG,2020/1/14,0
Afghanistan,AFG,2020/1/15,0
Afghanistan,AFG,2020/1/16,0
Afghanistan,AFG,2020/1/17,0
Afghanistan,AFG,2020/1/18,0
Afghanistan,AFG,2020/1/19,0
Afghanistan,AFG,2020/1/20,0
Afghanistan,AFG,2020/1/21,0
Afghanistan,AFG,2020/1/22,0
Afghanistan,AFG,2020/1/23,0
Afghanistan,AFG,2020/1/24,0
Afghanistan,AFG,2020/1/25,0
Afghanistan,AFG,2020/1/26,0
Afghanistan,AFG,2020/1/27,0
Afghanistan,AFG,2020/1/28,0
Afghanistan,AFG,2020/1/29,0
Afghanistan,AFG,2020/1/30,0
Afghanistan,AFG,2020/1/31,0
Afghanistan,AFG,2020/2/1,0
Afghanistan,AFG,2020/2/2,0
Afghanistan,AFG,2020/2/3,0
Afghanistan,AFG,2020/2/4,0
Afghanistan,AFG,2020/2/5,0
Afghanistan,AFG,2020/2/6,0
Afghanistan,AFG,2020/2/7,0
Afghanistan,AFG,2020/2/8,0
Afghanistan,AFG,2020/2/9,0
Afghanistan,AFG,2020/2/10,0
Afghanistan,AFG,2020/2/11,0
Afghanistan,AFG,2020/2/12,0
Afghanistan,AFG,2020/2/13,0
Afghanistan,AFG,2020/2/14,0
Afghanistan,AFG,2020/2/15,0
Afghanistan,AFG,2020/2/16,0
Afghanistan,AFG,2020/2/17,0
Afghanistan,AFG,2020/2/18,0
Afghanistan,AFG,2020/2/19,0
Afghanistan,AFG,2020/2/20,0
Afghanistan,AFG,2020/2/21,0
Afghanistan,AFG,2020/2/22,0
Afghanistan,AFG,2020/2/23,7.74
Afghanistan,AFG,2020/2/24,11.31
Afghanistan,AFG,2020/2/25,11.31
Afghanistan,AFG,2020/2/26,11.31
Afghanistan,AFG,2020/2/27,11.31
Afghanistan,AFG,2020/2/28,11.31
Afghanistan,AFG,2020/2/29,11.31
Afghanistan,AFG,2020/3/1,26.19
Afghanistan,AFG,2020/3/2,26.19
Afghanistan,AFG,2020/3/3,26.19
Afghanistan,AFG,2020/3/4,26.19
Afghanistan,AFG,2020/3/5,26.19
Afghanistan,AFG,2020/3/6,26.19
Afghanistan,AFG,2020/3/7,26.19
Afghanistan,AFG,2020/3/8,26.19
Afghanistan,AFG,2020/3/9,26.19
Afghanistan,AFG,2020/3/10,26.19
Afghanistan,AFG,2020/3/11,26.19
Afghanistan,AFG,2020/3/12,26.19
Afghanistan,AFG,2020/3/13,26.19
Afghanistan,AFG,2020/3/14,33.33
Afghanistan,AFG,2020/3/15,33.33
Afghanistan,AFG,2020/3/16,33.33
Afghanistan,AFG,2020/3/17,33.33
Afghanistan,AFG,2020/3/18,35.12
Afghanistan,AFG,2020/3/19,35.12
Afghanistan,AFG,2020/3/20,35.12
Afghanistan,AFG,2020/3/21,35.12
Afghanistan,AFG,2020/3/22,35.12
Afghanistan,AFG,2020/3/23,35.12
Afghanistan,AFG,2020/3/24,41.07
Afghanistan,AFG,2020/3/25,50
Afghanistan,AFG,2020/3/26,50
Afghanistan,AFG,2020/3/27,50
Afghanistan,AFG,2020/3/28,55.36
Afghanistan,AFG,2020/3/29,55.36
Afghanistan,AFG,2020/3/30,55.36
Afghanistan,AFG,2020/3/31,55.36
Afghanistan,AFG,2020/4/1,55.36
Afghanistan,AFG,2020/4/2,55.36
Afghanistan,AFG,2020/4/3,55.36
Afghanistan,AFG,2020/4/4,55.36
Afghanistan,AFG,2020/4/5,62.5
Afghanistan,AFG,2020/4/6,62.5
Afghanistan,AFG,2020/4/7,62.5
Afghanistan,AFG,2020/4/8,62.5
Afghanistan,AFG,2020/4/9,62.5
Afghanistan,AFG,2020/4/10,62.5
Afghanistan,AFG,2020/4/11,62.5
Afghanistan,AFG,2020/4/12,66.07
Afghanistan,AFG,2020/4/13,66.07
Afghanistan,AFG,2020/4/14,66.07
Afghanistan,AFG,2020/4/15,66.07
Afghanistan,AFG,2020/4/16,66.07
Afghanistan,AFG,2020/4/17,66.07
Afghanistan,AFG,2020/4/18,66.07
Afghanistan,AFG,2020/4/19,66.07
Afghanistan,AFG,2020/4/20,66.07
Afghanistan,AFG,2020/4/21,66.07
Afghanistan,AFG,2020/4/22,66.07
Afghanistan,AFG,2020/4/23,66.07
Afghanistan,AFG,2020/4/24,66.07
Afghanistan,AFG,2020/4/25,66.07
Afghanistan,AFG,2020/4/26,66.07
Afghanistan,AFG,2020/4/27,67.86
Afghanistan,AFG,2020/4/28,67.86
